,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
190,8,28,22,1,0,36.36,2,bowled,1,v Australia,Melbourne,60Feb004
191,27,38,40,4,0,67.5,2,caught,2,v Australia,Sydney,80Feb004
192,28,49,35,4,1,80,2,caught,1,v Pakistan,Karachi,130Mar004
193,141,173,135,17,1,104.44,2,caught,2,v Pakistan,Rawalpindi,160Mar004
194,0,7,5,0,0,0,2,caught,1,v Pakistan,Peshawar,190Mar004
195,7,22,13,1,0,53.84,2,caught,2,v Pakistan,Lahore,210Mar004
196,37,60,48,7,0,77.08,2,caught,1,v Pakistan,Lahore,240Mar004
197,11,17,13,2,0,84.61,1,caught,2,v Sri Lanka,Dambulla,180Jul004
198,18,30,21,3,0,85.71,1,lbw,1,v Sri Lanka,Colombo (RPS),270Jul004
199,74,170,100,7,1,74,2,bowled,2,v Sri Lanka,Colombo (RPS),10Aug004
200,16,30,17,2,0,94.11,2,run out,1,v Pakistan,Kolkata,130Nov004
201,19,46,32,3,0,59.37,2,caught,1,v Bangladesh,Chittagong,230Dec004
202,47,60,42,9,0,111.9,2,caught,1,v Bangladesh,Dhaka,270Dec004
203,4,8,4,1,0,100,2,caught,1,v Pakistan,Kochi,20Apr005
204,2,17,8,0,0,25,2,run out,1,v Pakistan,Visakhapatnam,50Apr005
205,6,15,11,1,0,54.54,2,caught,2,v Pakistan,Jamshedpur,90Apr005
206,123,192,130,12,2,94.61,2,bowled,1,v Pakistan,Ahmedabad,120Apr005
207,1,13,10,0,0,10,2,caught,1,v Pakistan,Kanpur,150Apr005
208,9,38,15,0,0,60,2,bowled,2,v Pakistan,Delhi,170Apr005
209,93,149,96,9,2,96.87,2,caught,1,v Sri Lanka,Nagpur,250Oct005
210,67,87,69,11,0,97.1,2,not out,2,v Sri Lanka,Mohali,280Oct005
211,2,2,3,0,0,66.66,2,caught,2,v Sri Lanka,Jaipur,310Oct005
212,11,28,19,1,1,57.89,2,bowled,2,v Sri Lanka,Pune,30Nov005
213,19,46,30,3,0,63.33,2,caught,2,v Sri Lanka,Rajkot,90Nov005
214,39,76,48,8,0,81.25,2,caught,2,v Sri Lanka,Vadodara,120Nov005
215,2,20,9,0,0,22.22,2,caught,1,v South Africa,Hyderabad (Deccan),160Nov005
216,2,31,22,0,0,9.09,2,caught,2,v South Africa,Bengaluru,190Nov005
217,2,18,15,0,0,13.33,3,caught,1,v South Africa,Kolkata,250Nov005
218,30,77,44,5,0,68.18,2,caught,2,v South Africa,Mumbai,280Nov005
